flickr_group_id,group_id
1002813@N20,1
1014672@N20,2
1036122@N20,3
1045321@N24,4
1046678@N20,5
1058026@N25,6
1067308@N22,7
1071004@N22,8
10794437@N00,9
1092468@N21,10
10985857@N00,11
11045393@N00,12
1107740@N25,13
11182190@N00,14
1118637@N21,15
11275184@N00,16
1142169@N20,17
1147413@N22,18
1148201@N22,19
1153851@N20,20
1166803@N23,21
1171300@N22,22
1178191@N23,23
1181393@N24,24
1183726@N25,25
1196563@N24,26
1199216@N23,27
1203287@N20,28
12121708@N00,29
12237378@N00,30
1235567@N25,31
1245926@N22,32
1256718@N25,33
1257587@N23,34
1258638@N25,35
12632627@N00,36
1300068@N21,37
1305145@N23,38
1306847@N23,39
1311562@N25,40
1333889@N21,41
1335266@N20,42
1335883@N21,43
1357304@N23,44
1365754@N23,45
13663871@N00,46
1389599@N24,47
1392950@N23,48
1423493@N21,49
1441576@N23,50
14444575@N00,51
1450043@N21,52
14505052@N00,53
1452342@N24,54
14584229@N00,55
1464649@N22,56
14739902@N00,57
14757429@N00,58
1476897@N24,59
14826581@N00,60
1491015@N25,61
1492095@N21,62
14942611@N00,63
1509745@N22,64
15253335@N00,65
15322955@N00,66
15412054@N00,67
1543498@N24,68
1563238@N21,69
15648383@N00,70
1575196@N24,71
1599101@N23,72
1600509@N25,73
1616244@N22,74
16347338@N00,75
1638261@N23,76
1642523@N22,77
1711649@N23,78
1718417@N24,79
1733141@N21,80
17507259@N00,81
1775351@N21,82
17918700@N00,83
17973149@N00,84
1838497@N21,85
18398948@N00,86
1912490@N25,87
19246323@N00,88
19713213@N00,89
20662559@N00,90
20816248@N00,91
20939248@N00,92
21484395@N00,93
22141726@N00,94
22399265@N00,95
22605899@N00,96
23869623@N00,97
24172844@N00,98
25313687@N00,99
25511021@N00,100
2679710@N21,101
26918251@N00,102
27015010@N00,103
27163091@N00,104
2718391@N21,105
27214489@N00,106
2723522@N25,107
27469066@N00,108
27871161@N00,109
28013311@N00,110
28304400@N00,111
28616380@N00,112
28626955@N00,113
28763481@N00,114
29596272@N00,115
29882622@N00,116
29927796@N00,117
300671@N24,118
30421989@N00,119
30423985@N00,120
304358@N25,121
30593559@N00,122
30758338@N00,123
311445@N24,124
31252394@N00,125
315479@N24,126
316362@N24,127
316569@N25,128
32142572@N00,129
32151924@N00,130
32282965@N00,131
32588014@N00,132
32597757@N00,133
325985@N24,134
32602849@N00,135
32719957@N00,136
329052@N25,137
334727@N24,138
33748982@N00,139
33781353@N00,140
33921202@N00,141
339446@N24,142
340485@N20,143
34223545@N00,144
34254285@N00,145
344241@N21,146
34427467255@N01,147
34942935@N00,148
35034363432@N01,149
35089435@N00,150
351919@N21,151
35491091@N00,152
35896258@N00,153
359395@N20,154
359839@N24,155
360363@N20,156
36101700278@N01,157
362449@N22,158
363361@N22,159
36447849@N00,160
365154@N23,161
36521966285@N01,162
36521966562@N01,163
36607453@N00,164
367355@N22,165
37017897@N00,166
373296@N20,167
373437@N20,168
374528@N21,169
376701@N20,170
378115@N22,171
378863@N23,172
378908@N24,173
379076@N21,174
379853@N20,175
37996573354@N01,176
37996596021@N01,177
38213946@N00,178
383219@N25,179
383444@N24,180
385640@N21,181
388000@N21,182
39375798@N00,183
39719964@N00,184
397583@N22,185
39903522@N00,186
39981247@N00,187
40042155@N00,188
400516@N24,189
406846@N25,190
407315@N22,191
409488@N23,192
41098810@N00,193
413950@N24,194
41683825@N00,195
417527@N25,196
418472@N21,197
41855630@N00,198
419208@N21,199
420626@N22,200
42233551@N00,201
42391675@N00,202
42398089@N00,203
424733@N21,204
425485@N22,205
426565@N22,206
427148@N23,207
427735@N23,208
429070@N20,209
432634@N24,210
43492627@N00,211
43935391225@N01,212
443385@N25,213
44374352@N00,214
443927@N22,215
45308615@N00,216
455506@N23,217
45729046@N00,218
45748816@N00,219
45818016@N00,220
45841642@N00,221
462599@N24,222
46353088@N00,223
463788@N24,224
46594087@N00,225
46867246@N00,226
469021@N25,227
473476@N20,228
474033@N24,229
47716690@N00,230
479110@N22,231
48479268@N00,232
48548301@N00,233
48932295@N00,234
48954257@N00,235
49093854@N00,236
49254944@N00,237
49391284@N00,238
49503016789@N01,239
49672963@N00,240
49802423@N00,241
505356@N23,242
